venue_id,name,city,state,country,lat,lon,timezone_iana,n_events,geocode_source
1,"Jacksonville, Florida, USA",Jacksonville,Florida,United States,30.3262247,-81.6579179,America/New_York,15,nominatim:2026-05-16
2,"Sao Paulo, Sao Paulo, Brazil",,São Paulo,Brasil,-23.5506507,-46.6333824,America/Sao_Paulo,15,nominatim:2026-05-16
3,"Atlanta, Georgia, USA",Atlanta,Georgia,United States,33.7544657,-84.3898151,America/New_York,13,nominatim:2026-05-16
4,"Austin, Texas, USA",Austin,Texas,United States,30.2711286,-97.7436995,America/Chicago,13,nominatim:2026-05-16
5,"Kallang, Singapore",Singapore,,Singapore,1.3111254,103.8665434,Asia/Singapore,13,nominatim:2026-05-16
6,"Seattle, Washington, USA",Seattle,Washington,United States,47.6038321,-122.330062,America/Los_Angeles,13,nominatim:2026-05-16
7,"Manchester, England, United Kingdom",Manchester,England,United Kingdom,53.4424618,-2.2324547,Europe/London,12,nominatim:2026-05-16
8,"Melbourne, Victoria, Australia",Melbourne,Victoria,Australia,-37.8142454,144.9631732,Australia/Melbourne,12,nominatim:2026-05-16
9,"Saitama, Japan",,,日本,35.9754168,139.4160114,Asia/Tokyo,12,nominatim:2026-05-16
10,"San Jose, California, USA",San Jose,California,United States,37.3361663,-121.890591,America/Los_Angeles,12,nominatim:2026-05-16
11,"Macau, China",,澳門 Macau,中国,22.1757605,113.5514142,Asia/Macau,11,nominatim:2026-05-16
12,"New Orleans, Louisiana, USA",New Orleans,Louisiana,United States,29.9561422,-90.0733934,America/Chicago,11,nominatim:2026-05-16
13,"Orlando, Florida, USA",Orlando,Florida,United States,28.5421218,-81.379045,America/New_York,11,nominatim:2026-05-16
14,"Phoenix, Arizona, USA",Phoenix,Arizona,United States,33.4484367,-112.074141,America/Phoenix,11,nominatim:2026-05-16
15,"Charlotte, North Carolina, USA",Charlotte,North Carolina,United States,35.2272086,-80.8430827,America/New_York,10,nominatim:2026-05-16
16,"San Diego, California, USA",San Diego,California,United States,32.7174202,-117.162772,America/Los_Angeles,10,nominatim:2026-05-16
17,"Tampa, Florida, USA",Tampa,Florida,United States,27.9449854,-82.4583107,America/New_York,10,nominatim:2026-05-16
18,"Auckland, New Zealand",Auckland,Auckland,New Zealand / Aotearoa,-36.852095,174.7631803,Pacific/Auckland,9,nominatim:2026-05-16
19,"Perth, Western Australia, Australia",Perth,Western Australia,Australia,-31.9558967,115.8605784,Australia/Perth,9,nominatim:2026-05-16
20,"Salt Lake City, Utah, USA",Salt Lake City,Utah,United States,40.7596198,-111.886797,America/Denver,9,nominatim:2026-05-16
21,"Abu Dhabi, United Arab Emirates",أبو ظبي,أبو ظبي,الإمارات العربية المتحدة,24.4538352,54.3774014,Asia/Dubai,6,nominatim:2026-05-16
22,"Adelaide, South Australia, Australia",Adelaide,South Australia,Australia,-34.9281805,138.5999312,Australia/Adelaide,6,nominatim:2026-05-16
23,"Brisbane, Queensland, Australia",Brisbane,Queensland,Australia,-27.4689623,153.0235009,Australia/Brisbane,6,nominatim:2026-05-16
24,"Glasgow, Scotland, United Kingdom",Glasgow,Alba / Scotland,United Kingdom,55.861155,-4.2501687,Europe/London,6,nominatim:2026-05-16
